Player Name,Team,Position,Salary_M,PTS,AST,TRB,Value_Score
Stephen Curry,GSW,PG,48.070014,29.4,6.3,6.1,0.8695649641375182
John Wall,LAC,PG,47.34576,11.4,5.2,2.7,0.4076394591617074
Russell Westbrook,LAL/LAC,PG,47.080179,15.9,7.5,5.8,0.6202185424995941
LeBron James,LAL,PF,44.474988,28.9,6.8,8.3,0.9893201095411199
Kevin Durant,BRK/PHO,PF,44.119845,29.1,5.0,6.7,0.9247539287592693
Bradley Beal,WAS,SG,43.27925,23.2,5.4,3.9,0.7509372274242276
Kawhi Leonard,LAC,SF,42.492492,23.8,3.9,6.5,0.8048480658653769
Paul George,LAC,SF,42.492492,23.8,5.1,6.1,0.823674921207257
Giannis Antetokounmpo,MIL,PF,42.492492,31.1,5.7,11.8,1.14373146201922
Damian Lillard,POR,PG,42.492492,32.2,7.3,4.8,1.0425371145566138
Klay Thompson,GSW,SF,40.60008,21.9,2.4,4.1,0.6995060108255944
Kyrie Irving,BRK/DAL,PG-SG,38.917057,27.1,5.5,5.1,0.9687269003922883
Rudy Gobert,MIN,C,38.172414,13.4,1.2,11.6,0.6863595265418634
Khris Middleton,MIL,SF,37.984276,15.1,4.9,4.2,0.6371057329090595
Anthony Davis,LAL,C,37.98072,25.9,2.6,12.5,1.0794950701303188
Jimmy Butler,MIA,PF,37.6533,22.9,5.3,5.9,0.9056311133419913
Tobias Harris,PHI,SF,37.63305,14.7,2.5,5.7,0.6085076814130133
Trae Young,ATL,PG,37.0965,26.2,10.2,3.0,1.0620948067877023
Zach LaVine,CHI,SG,37.0965,24.8,4.2,4.5,0.9030501529793916
Ben Simmons,BRK,PG,35.448672,6.9,6.1,6.3,0.5444491686458663
